2.1,empfehlen,Verb,empfahl - empfohlen,khuyến nghị,"Es wird empfohlen, sich in Innenräumen aufzuhalten.",Người ta khuyến nghị nên ở trong nhà.,Gesundheit,B1;DTZ;Gesundheit,không tách được; haben
2.1,der Innenraum,Substantiv,"der Innenraum, -räume",không gian trong nhà,Mittags soll man sich in Innenräumen aufhalten.,Buổi trưa nên ở trong các không gian trong nhà.,Gesundheit,B1;DTZ;Gesundheit,
2.1,sich aufhalten,Verb,hielt sich auf - sich aufgehalten,"lưu lại, ở",Kinder sollen sich am Mittag zu Hause aufhalten.,Trẻ em nên ở nhà vào buổi trưa.,Alltag,B1;DTZ;Alltag,tách được; phản thân
2.1,die Empfehlung,Substantiv,"die Empfehlung, -en",lời khuyến nghị,Die Empfehlung gilt vor allem für die Mittagszeit.,Lời khuyến nghị áp dụng nhất là vào buổi trưa.,Gesundheit,B1;DTZ;Gesundheit,
2.1,die Reizung,Substantiv,"die Reizung, -en",sự kích ứng,Es kann zu Reizungen der Atemwege kommen.,Có thể xảy ra tình trạng kích ứng đường hô hấp.,Gesundheit,B1;DTZ;Gesundheit,
2.1,die Atemwege,Substantiv,die Atemwege (Pl.),đường hô hấp,Reizungen der Atemwege sind möglich.,Kích ứng đường hô hấp là điều có thể xảy ra.,Gesundheit,B1;DTZ;Gesundheit,thường dùng số nhiều
2.1,der Husten,Substantiv,"der Husten, -",cơn ho,Schnupfen oder Husten können auftreten.,Sổ mũi hoặc ho có thể xuất hiện.,Gesundheit,B1;DTZ;Gesundheit,
2.2,gewinnen,Verb,gewann - gewonnen,"thắng, trúng thưởng",Sie können einen Tag im Erlebnisbad gewinnen.,Bạn có thể trúng thưởng một ngày ở bể bơi giải trí.,Freizeit,B1;DTZ;Freizeit,
2.2,verlosen,Verb,verloste - verlost,rút thăm trúng thưởng,Wir verlosen dreimal zwei Tageskarten.,Chúng tôi rút thăm tặng ba lần mỗi lần hai vé ngày.,Freizeit,B1;DTZ;Freizeit,
2.2,die Tageskarte,Substantiv,"die Tageskarte, -n",vé ngày,Jedes Ticket beinhaltet eine Tageskarte für das Bad.,Mỗi vé bao gồm một vé ngày cho bể bơi.,Freizeit,B1;DTZ;Freizeit,
2.2,der Gutschein,Substantiv,"der Gutschein, -e",phiếu quà tặng,Es gibt zusätzlich einen Getränke-Gutschein.,Ngoài ra còn có một phiếu đồ uống tặng kèm.,Einkauf,B1;DTZ;Einkauf,
2.2,der Eintritt,Substantiv,"der Eintritt, -e","vé vào, sự vào cửa",Jedes Ticket beinhaltet den Eintritt ins Schwimmbad.,Mỗi vé bao gồm phí vào cửa bể bơi.,Freizeit,B1;DTZ;Freizeit,
2.2,die Gewinnaktion,Substantiv,"die Gewinnaktion, -en",chương trình trúng thưởng,Die Gewinnaktion läuft mit Radio Welle Nord.,Chương trình trúng thưởng diễn ra cùng Radio Welle Nord.,Freizeit,B1;DTZ;Freizeit,
2.2,beinhalten,Verb,beinhaltete - beinhaltet,"bao gồm, chứa đựng",Das Ticket beinhaltet den ganzen Tag im Bad.,Vé bao gồm cả ngày trong bể bơi.,Allgemein,B1;DTZ;Allgemein,không tách được
2.3,der Bereitschaftsdienst,Substantiv,"der Bereitschaftsdienst, -e","dịch vụ trực, tổng đài trực",Der ärztliche Bereitschaftsdienst ist unter 141 erreichbar.,Tổng đài bác sĩ trực có thể liên hệ qua số 141.,Gesundheit,B1;DTZ;Gesundheit,
2.3,ärztlich,Adjektiv,,"thuộc về y tế, bác sĩ",Die Nummer gilt für den ärztlichen Bereitschaftsdienst.,Số này dành cho dịch vụ y tế trực.,Gesundheit,B1;DTZ;Gesundheit,
2.3,der Notfall,Substantiv,"der Notfall, -fälle",trường hợp khẩn cấp,112 gilt für allgemeine Notfälle.,Số 112 dùng cho các trường hợp khẩn cấp chung.,Gesundheit,B1;DTZ;Gesundheit,
2.3,der Rettungsdienst,Substantiv,"der Rettungsdienst, -e",dịch vụ cấp cứu,144 ist die Nummer für den Rettungsdienst.,144 là số gọi dịch vụ cấp cứu.,Gesundheit,B1;DTZ;Gesundheit,
2.3,die Durchsage,Substantiv,"die Durchsage, -n",thông báo qua loa,Die Durchsage informiert über Notrufnummern.,Thông báo qua loa cung cấp các số gọi khẩn cấp.,Allgemein,B1;DTZ;Allgemein,
2.3,gelten,Verb,galt - gegolten,"có hiệu lực, áp dụng cho",Die Nummer gilt für medizinische Notfälle.,Số này áp dụng cho các tình huống y tế khẩn cấp.,Allgemein,B1;DTZ;Allgemein,
2.4,die Feuerwehr,Substantiv,"die Feuerwehr, -en",đội cứu hỏa,Im Brandfall ruft man die Feuerwehr.,Khi có cháy người ta gọi cứu hỏa.,Gesundheit,B1;DTZ;Gesundheit,
2.4,der Brandfall,Substantiv,"der Brandfall, -fälle",trường hợp hỏa hoạn,Im Brandfall wählt man 122.,Trong trường hợp hỏa hoạn người ta bấm 122.,Gesundheit,B1;DTZ;Gesundheit,
2.4,alarmieren,Verb,alarmierte - alarmiert,"báo động, gọi cứu trợ",Die Feuerwehr wird unter 122 alarmiert.,Đội cứu hỏa được báo động qua số 122.,Gesundheit,B1;DTZ;Gesundheit,không tách được
2.4,wählen,Verb,wählte - gewählt,"bấm số, chọn",Welche Nummer soll im Brandfall gewählt werden?,Số nào nên được bấm khi có cháy?,Alltag,B1;DTZ;Alltag,
2.4,die Verbrennung,Substantiv,"die Verbrennung, -en",vết bỏng,Bei Verbrennungen ruft man 144.,Khi bị bỏng người ta gọi 144.,Gesundheit,B1;DTZ;Gesundheit,
2.4,die Warnung,Substantiv,"die Warnung, -en",lời cảnh báo,Eine Warnung der Feuerwehr wurde gesendet.,Một lời cảnh báo từ đội cứu hỏa đã được gửi.,Gesundheit,B1;DTZ;Gesundheit,
2.5,der Erkrankte,Substantiv,"der Erkrankte, -n",người bị bệnh,Ein Erkrankter kann zur Erstuntersuchung kommen.,Một người bị bệnh có thể đến khám lần đầu.,Gesundheit,B1;DTZ;Gesundheit,danh từ phái sinh tính từ
2.5,die Erstuntersuchung,Substantiv,"die Erstuntersuchung, -en",khám lần đầu,Die Erstuntersuchung findet wochentags statt.,Khám lần đầu diễn ra vào các ngày trong tuần.,Gesundheit,B1;DTZ;Gesundheit,
2.5,das Ärztehaus,Substantiv,"das Ärztehaus, -häuser",tòa nhà phòng khám,Im Ärztehaus arbeiten mehrere Ärzte.,Trong tòa nhà phòng khám có nhiều bác sĩ làm việc.,Gesundheit,B1;DTZ;Gesundheit,
2.5,die Sprechzeit,Substantiv,"die Sprechzeit, -en",giờ khám bệnh,Die Sprechzeiten sind Montag bis Freitag.,Giờ khám là từ thứ Hai đến thứ Sáu.,Gesundheit,B1;DTZ;Gesundheit,
2.5,das Gesundheitszentrum,Substantiv,"das Gesundheitszentrum, -zentren",trung tâm y tế,Das Gesundheitszentrum hat täglich geöffnet.,Trung tâm y tế mở cửa hàng ngày.,Gesundheit,B1;DTZ;Gesundheit,
2.5,der Hinweis,Substantiv,"der Hinweis, -e","lời chỉ dẫn, lưu ý",Ein Gesundheitshinweis wurde veröffentlicht.,Một thông báo về sức khỏe đã được công bố.,Allgemein,B1;DTZ;Allgemein,
2.6,verdächtig,Adjektiv,,"khả nghi, đáng ngờ",Bei verdächtigen Anrufen rufen Sie 133 an.,Khi có cuộc gọi đáng ngờ hãy gọi 133.,Gesellschaft,B1;DTZ;Gesellschaft,
2.6,der Anruf,Substantiv,"der Anruf, -e",cuộc gọi,Verdächtige Anrufe sollte man melden.,Nên báo cáo các cuộc gọi đáng ngờ.,Alltag,B1;DTZ;Alltag,
2.6,der Bürger,Substantiv,"der Bürger, -",công dân,Bürger sollen die Polizei informieren.,Công dân nên thông báo cho cảnh sát.,Gesellschaft,B1;DTZ;Gesellschaft,
2.6,kontaktieren,Verb,kontaktierte - kontaktiert,liên hệ,Bürger sollen bei Bedarf die Polizei kontaktieren.,Công dân nên liên hệ cảnh sát khi cần.,Allgemein,B1;DTZ;Allgemein,không tách được
2.6,die Notrufnummer,Substantiv,"die Notrufnummer, -n",số gọi khẩn cấp,112 ist eine allgemeine Notrufnummer.,112 là số gọi khẩn cấp chung.,Gesundheit,B1;DTZ;Gesundheit,
2.6,informieren,Verb,informierte - informiert,"thông báo, cung cấp thông tin",Die Polizei wird unter 133 informiert.,Cảnh sát được thông báo qua số 133.,Allgemein,B1;DTZ;Allgemein,không tách được
2.7,die Straßenreinigung,Substantiv,"die Straßenreinigung, -en",việc làm sạch đường phố,Die Straßenreinigung beginnt um 9 Uhr.,Việc dọn đường bắt đầu lúc 9 giờ.,Alltag,B1;DTZ;Alltag,
2.7,beginnen,Verb,begann - begonnen,bắt đầu,Die Reinigung beginnt am Wochenende um 9 Uhr.,Việc dọn dẹp bắt đầu vào cuối tuần lúc 9 giờ.,Alltag,B1;DTZ;Alltag,
2.7,der Werktag,Substantiv,"der Werktag, -e","ngày làm việc, ngày thường",An Werktagen beginnt die Reinigung um 6 Uhr.,"Vào các ngày thường, việc dọn bắt đầu lúc 6 giờ.",Alltag,B1;DTZ;Alltag,
