1.99,Mitglied,Substantiv,"das Mitglied, -er",thành viên,"Was sollen Mitglieder tun, wenn der Zugang zum Fitnessraum eingeschränkt ist?",Các thành viên cần làm gì khi việc vào phòng tập bị hạn chế?,Freizeit,B1;DTZ;Freizeit,
1.99,Zugang,Substantiv,"der Zugang, Zugänge","lối vào, sự tiếp cận","Mitglieder, wenn der Zugang zum Fitnessraum eingeschränkt ist.","Thành viên, khi lối vào phòng tập bị hạn chế.",Freizeit,B1;DTZ;Freizeit,
1.99,einschränken,Verb,schränkte ein - hat eingeschränkt,hạn chế,Der Zugang zum Fitnessraum ist eingeschränkt.,Lối vào phòng tập bị hạn chế.,Freizeit,B1;DTZ;Freizeit,trennbar
1.99,teilnehmen,Verb,nahm teil - hat teilgenommen,tham gia,An den Gruppenkursen im Park teilnehmen.,Tham gia các khóa học nhóm ở công viên.,Freizeit,B1;DTZ;Freizeit,trennbar; an + Dat
1.99,sich wenden,Verb,wandte sich - hat sich gewandt,"tìm đến, liên hệ",Sich an die Mitarbeiter im Café wenden.,Liên hệ với nhân viên trong quán cà phê.,Alltag,B1;DTZ;Alltag,reflexiv; an + Akk
1.99,Alternative,Substantiv,"die Alternative, -n",lựa chọn thay thế,Eine Alternative im Park wird angeboten.,Một lựa chọn thay thế ở công viên được đưa ra.,Alltag,B1;DTZ;Alltag,
1.99,abwarten,Verb,wartete ab - hat abgewartet,chờ đợi,Den Zugang zum Fitnessraum abwarten.,Chờ đợi lối vào phòng tập.,Alltag,B1;DTZ;Alltag,trennbar
1.100,Reisende,Substantiv,"der/die Reisende, -n","hành khách, người du lịch",Was sollen Reisende nach Frankfurt machen?,Các hành khách đi Frankfurt cần làm gì?,Verkehr,B1;DTZ;Verkehr,
1.100,Gleis,Substantiv,"das Gleis, -e","đường ray, sân ga",Den Zug von Gleis 3 nehmen.,Đi tàu từ sân ga số 3.,Verkehr,B1;DTZ;Verkehr,
1.100,umsteigen,Verb,stieg um - ist umgestiegen,chuyển tàu/xe,Am Flughafen umsteigen.,Chuyển tàu ở sân bay.,Verkehr,B1;DTZ;Verkehr,trennbar; sein
1.100,ausfallen,Verb,fiel aus - ist ausgefallen,bị hủy bỏ,Der Zug S232 nach Frankfurt fällt aus.,Tàu S232 đi Frankfurt bị hủy.,Verkehr,B1;DTZ;Verkehr,trennbar; sein
1.100,Fahrgast,Substantiv,"der Fahrgast, Fahrgäste",hành khách,Die Fahrgäste sollen den Zug S567 nehmen.,Hành khách nên đi tàu S567.,Verkehr,B1;DTZ;Verkehr,
1.100,stattdessen,Adverb,,thay vào đó,Die Fahrgäste sollen stattdessen den Zug S567 nehmen.,Hành khách nên đi tàu S567 thay vào đó.,Allgemein,B1;DTZ;Allgemein,
1.100,Richtung,Substantiv,"die Richtung, -en",hướng,Den Zug S567 Richtung Stuttgart nehmen.,Đi tàu S567 hướng Stuttgart.,Verkehr,B1;DTZ;Verkehr,
1.101,Zugverbindung,Substantiv,"die Zugverbindung, -en","tuyến tàu, lịch trình tàu",Die Zugverbindung wird unterbrochen.,Tuyến tàu bị gián đoạn.,Verkehr,B1;DTZ;Verkehr,
1.101,Ersatzverkehr,Substantiv,"der Ersatzverkehr, -e",giao thông thay thế,Busse als Ersatzverkehr werden eingesetzt.,Xe buýt được sử dụng làm giao thông thay thế.,Verkehr,B1;DTZ;Verkehr,
1.101,Unterbrechung,Substantiv,"die Unterbrechung, -en",sự gián đoạn,Für die Dauer der Unterbrechung werden Busse eingesetzt.,"Trong thời gian gián đoạn, xe buýt được sử dụng.",Verkehr,B1;DTZ;Verkehr,
